,name_eng,city_eng,country_eng,latitude,longitude
1285,Municipal,Coffeyville,United States,37.094048,-95.571894
1286,Craig SPB,Craig,United States,55.478831,-133.1478
1287,Intl. Airpt. Marechal Rondon,Cuiaba,Brazil,-15.652931,-56.116719
1288,Cape Gloucester,Cape Gloucester,Papua New Guinea,-5.45,148.417
1289,Changde,Changde,China,28.918889,111.640278
1290,Cambridge,Cambridge,United States,38.539333,-76.030389
1291,Cuyahoga County,Cleveland,United States,41.565111,-81.486361
1292,Casiguran,Casiguran,Philippines,0,0
1293,Congonhas,Sao Paulo,Brazil,-23.626692,-46.655375
1294,Cape Girardeau,Cape Girardeau,United States,37.225317,-89.570752
1295,Chingola,Chingola,Zambia,-12.547,27.855
1296,Mambajao,Camiguin,Philippines,9.253525,124.707075
1297,Cologne/bonn,Cologne,Germany,50.866,7.143
1298,Zhengzhou,Zhengzhou,China,34.519672,113.840889
1299,Patenga,Chittagong,Bangladesh,22.249611,91.813286
1300,Changchun,Changchun,China,43.996214,125.685356
1301,Intl. Airport Campo Grande,Campo Grande,Brazil,-20.468667,-54.6725
1302,College Park,College Park,United States,38.980583,-76.922306
1303,Chinguitti,Chinguitti,Mauritania,20.483,-12.383
1304,Ciudad Guayana,Ciudad Guayana,Venezuela,8.3,-62.733
1305,Caiguna,Caiguna,Australia,-32.280555,125.477222
1306,Merrill C Meigs (closed),Chicago,United States,41.85888889,-87.60833333
1307,Cagayan De Oro Domestic Airport,Cagayan De Oro,Philippines,8.415619,124.611219
1308,Municipal,Casa Grande,United States,32.954889,-111.766833
1309,Lovell Field,"Chattanooga,TN",United States,35.035194,-85.203556
1310,Chilas,Chilas,Pakistan,35.426666,74.081665
1311,Christchurch International,Christchurch,New Zealand,-43.489444,172.534444
1312,Williams Gateway Airport,Mesa,United States,33.30777778,-111.6555556
1313,Reenroe,Caherciveen,Ireland,51.95,-10.217
1314,Jinhae,Jinhae,Korea (South),35.141175,128.695792
1315,Chaoyang Airport,Chaoyang,China,41.538056,120.435
1316,Chachapoyas,Chachapoyas,Peru,-6.201806,-77.856064
1317,Chicago FSS,Chicago,United States,41.883,-87.631
1318,Chipinge,Chipinge,Zimbabwe,-20.206667,32.628332
1319,Municipal,Chickasha,United States,35.097361,-97.967694
1320,Challis,Challis,United States,44.523583,-114.217917
1321,Chimbote,Chimbote,Peru,-9.149614,-78.52385
1322,Jeonju,Jeonju,Korea (South),35.878436,127.11955
1323,Albemarle,Charlottesville,United States,38.138639,-78.452861
1324,Circle Hot Springs,Circle Hot Springs,United States,65.485472,-144.610784
1325,Souda,Chania,Greece,35.531747,24.149678
1326,Chateauroux,Chateauroux,France,46.860278,1.721111
1327,"Charleston,  AFB Municipal","Charleston, SC",United States,32.898639,-80.040528
1328,Karewa,Chatham Island,New Zealand,-43.809999,-176.457222
1329,Chuathbaluk,Chuathbaluk,United States,61.579056,-159.215639
1330,Chaves,Chaves,Portugal,41.725834,-7.465556
1331,Jiuhuang,Jiuquan,China,39.856944,98.341389
1332,Changuinola,Changuinola,Panama,9.458636,-82.516806
1333,Choiseul Bay,Choiseul Bay,Solomon Islands,-6.711944,156.396111
1334,State,Chiloquin,United States,42.583192,-121.876126
1335,Ciampino,Rome,Italy,41.799361,12.594936
1336,Ap In The Sky,Catalina Island,United States,33.404997,-118.415769
1337,Chico,Chico,United States,39.795389,-121.858417
1338,Cedar Rapids,Cedar Rapids,United States,41.885085,-91.712288
1339,Collie,Collie,Australia,-33.359721,116.201667
1340,Chifeng,Chifeng,China,42.235,118.908333
1341,Craig-Moffat,Craig,United States,40.495221,-107.521647
1342,Changzhi,Changzhi,China,36.2475,113.125833
1343,E. Beltram,Cobija,Brazil,-11.040436,-68.782972
1344,Chalkyitsik,Chalkyitsik,United States,66.645022,-143.73993
1345,Melsing Creek,Council,United States,64.897882,-163.703447
1346,Cimitarra,Cimitarra,Colombia,6.367,-73.967
1347,Carroll,Carroll,United States,42.046194,-94.789
1348,MCAL Lopez,Concepcion,Colombia,4.066666667,-73.73333333
1349,Chipata,Chipata,Zambia,-13.560278,32.587778
1350,Chiquimula,Chiquimula,Guatemala,14.817,-89.517
1351,Cairo,Cairo,United States,37.064472,-89.219611
1352,Canton Island,Canton Island,Kiribati,-2.768122,-171.710394
1353,Shimkent,Shimkent,Kazakhstan,42.364167,69.478889
1354,Chippewa County,Sault Ste Marie,United States,46.25075,-84.472389
1355,Chomley,Chomley,United States,55.21666667,-132.2166667
1356,Canouan Island,Canouan Island,Saint Vincent and the Grenadines,12.699167,-61.3425
1357,Cornel Ruiz,Chiclayo,Peru,-6.787475,-79.828097
1358,Comiso,Comiso,Italy,36.995278,14.608056
1359,Coari,Coari,Brazil,-4.134056,-63.132556
1360,Cajamarca,Cajamarca,Peru,-7.139183,-78.4894
1361,Peelamedu,Coimbatore,India,11.030031,77.043383
1362,El Loa,Calama,Chile,-22.498175,-68.903575
1363,Candilejas,Candilejas,Colombia,1.333,-74.267
1364,Chilko Lake,Chilko Lake,United Kingdom,51.626106,-124.141945
1365,Ciudad Real - Don Quijote Airport,Ciudad Real,Spain,24.03333333,-54.1
1366,Cheongju,Cheongju,Korea (South),36.7166,127.499119
1367,Chitral,Chitral,Pakistan,35.886592,71.800578
1368,Chumphon Airport,Chumphon,Thailand,10.7112,99.361706
1369,Gillespie Field,"San Diego/El Cajon, CA",United States,32.82611111,-116.9725
1370,Intl Abraham Gonzalez,Ciudad Juarez,Mexico,31.636133,-106.428667
1371,Copalar,Comitan,Mexico,16.176592,-92.050356
1372,Jeju Airport,Jeju,Korea (South),33.511305,126.493028
1373,Kegelman Af,Cherokee,Bahamas,36.75,-98.116667
1374,Benedum,Clarksburg,United States,39.296639,-80.228083
1375,Cherkassy,Cherkassy,Ukraine,49.415569,31.995292
1376,Crooked Creek,Crooked Creek,United States,61.867861,-158.134917
